Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Seasonal Tastes,Gulshan,Pan Asian,4.6,205,3,"The Westin, Main Gulshan Ave  In Dhaka Westin"
Bistro-E,Gulshan,Restaurant,4.4,1109,3,"Bay's Edgewater 1st Floor NE (N, 12 Gulshan North Ave"
Bukhara Restaurant,Banani,Indian,4.2,664,1,"17th Floor, Iqbal Center, 42 Kemal Ataturk Ave"
Star Kebab & Restaurant,Banani,Restaurant,4.2,15445,2,"House-15 Rd no. 17, Block- C"
Bunka,Gulshan,Japanese,4.2,270,3,"13th Floor, Road 96, House 19, Gulshan 2"
S A V V A,Gulshan,Restaurant,4.4,141,1,"14th Floor, 3A Rd 49"
Meraki,Gulshan,Restaurant,3.9,375,3,188 Gulshan North Ave
Herfy Bangladesh,Gulshan,Fast Food,4.3,5600,2,"1 Gulshan Avenue, Road-1, House-1. GL Bhaban Ground Floor,1st Floor"
HEXA Dine,Banani,Continental restaurant,4.4,152,1,"House: 34 (1st Floor), Green Regency, Road No: 10, Block- D"
Seven 24 Restaurant,Gulshan,Restaurant,4,24,1,"2nd Floor, Rangs FC Enclave, Plot No. 6/A, Road No. 32 Gulshan Ave"
CAFÉ EXILE,Banani,Restaurant,4.4,25,1,"house No # 3, Rd No.28"
The Chocolate Room,Gulshan,Restaurant,4.2,709,1,"Plot # SE(C)2, Road #138, Ground Floor, Gulshan Ave"
Cozy Sizzler Restaurant,Gulshan,Restaurant,4.2,268,1,"Plot# CEN 4G, Road# 104, 1212. Dhaka, Bangladesh 1212"
Ginza,Banani,Restaurant,4.3,1508,2,"3rd Floor, 25 Rd No. 11"
Farzi Café Dhaka,Gulshan,Restaurant,4.1,149,1,Tower of Akash
Gulshan plaza restaura - GPR Banani,Gulshan,Restaurant,4,396,2,10 Enamul Hoq Chowdhury Road
Takeout Banani,Banani,Fast Food,4.4,5232,2,"Tower, 1st Floor, Plot No. 35, Abedin, Road No 17 Kamal Ataturk Ave"
Urban Spoon,Banani,Restaurant,4.1,266,2,116 Rd No. 11  In Fit Elegance Outlet
Burger Republic,Banani,Fast Food,4.3,29,1,88 Rd No 13A
Time Out,Banani,Restaurant,4.2,1362,2,"65E, House, Rd No. 19/A"
Umai,Gulshan,Japanese,4.3,480,3,House 8 Rd No. 50
