Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Cricket Ground Cafe,Badda,Cafe,4.1,169,1,"171/3 Middle Badda, হাতির ঝিল লিঙ্ক রোড"
Rosemery Restaurant,Badda,Bangladeshi,3.9,369,1,Madani Ave
Sanxi Thai Chinese,Badda,Chinese,3.9,1102,2,"House#1/B, Road#13, South"
The Artichoke,Badda,Restaurant,4.4,178,1,"Arma Majeda Malik Tower , Holding No# 215, Bir Uttam Rafiqul Islam Ave"
Cabana Restaurant and Party Center(Roof Top),Badda,Restaurant,4,143,2,"House 04, Road -10, DIT Project, Merul Badda Dhaka"
Oasis cafe & Restaurants,Baily Road,Chinese,3.6,76,1,"1, New Baily Road, Natok Sharoni, Abedin Tower (2nd Floor, Shanti Nagar Rd"
Ambrosia Restaurant & Music Cafe,Baily Road,Cafe,3.8,395,1,"Green Cozy Cott, 2 no New, Baily Rd"
Hakka Dhaka,Baily Road,Cantonese,4.1,910,2,2 Baily Rd
Boomers Café,Baily Road,Cafe,4.1,2425,2,"Navana Baily Star (3rd Floor) 9 Nawratan Colony, New Baily Rd, Dhaka"
Pizza Hut Baily Road,Baily Road,Pizza,4.2,2599,3,"3, Gold Hunt Shopping Complex New Baily Road, 10 Natok Sarani"
Sultan's Dine (Baily Road),Baily Road,Biryani,4,368,1,9 Baily Rd
Tagore Terrace,Banani,Cafe,4.3,965,2,House 44 Road-12
Fools Diner,Banani,Thai,4.4,1399,2,"H.No, 67/C Rd No 13B"
BG Sauslys Private Limited,Banani,Fast Food,3.7,66,1,"House # B/3, Block # G, Road No. 11"
Doo Mi Ok,Banani,Korean,4.3,67,1,Rd No. 11
Roll Xpress Cafe,Banani,Cafe,4.3,1213,2,"House 34, Block B Rd No # 21"
Tastebud,Banani,Cafe,4.2,1056,2,"52, Road No. 12A, Block H, Banani"
Taj Mahal Tandoori & Kabab,Banani,Bangladeshi,3.9,270,1,"10, House-46/5, Banani Bazar, Road, 10 Kemal Ataturk Avenue"
The Raintree Dhaka,Banani,Continental restaurant,4.1,829,1,"Plot # 49, Block K Rd No 27"
Beirut 99,Banani,Lebanese,3.9,74,1,13 Rd No. 13E
Hotel Sarina Dhaka,Banani,Restaurant,4.2,2574,1,"Plot #27, Road #17, Banani C/A"
Hakka Dhaka,Banani,Cantonese,4.2,1836,1,"Navana Rowshan Sayed Plaza, House # 47, 4th Floor"
Dhaka Metro Restaurant,Banani,Bangladeshi,3.9,100,1,"road 10, house 62 ব্লক#ডি"
"Terra Bistro, Banani",Banani,Restaurant,3.8,71,1,House# 52 Road# 11 Block# F
The Sky Room Dining,Banani,Restaurant,4,539,1,"12th Floor, 8 Kemal Ataturk Ave"
KFC,Banani,Fast Food,4,1252,2,"Bulu Ocean Tower, 40 Kemal Ataturk Ave  In Awal Centre"
Tea Stall Restaurant,Banani,Restaurant,4.3,89,1,"House no: 48, Toad no: 13/C"
Dum Ladhidh,Banani,Restaurant,4,235,1,"AWR NIB TOWER, House 99, Road 11, Block C, Lift 4"
Nordic Hotels Ltd.,Banani,Restaurant,3.9,544,1,"House-59, Road-17, Block-C"
Sushi Samurai,Banani,Sushi,4.1,810,3,"Level 7, House 100, Road 11, Block C"
TRIBE Rooftop Lounge,Banani,Restaurant,4.2,63,1,Bangladesh
Fakruddin Restaurant,Banani,Bangladeshi,4,130,1,"H- 90, New Airport Road, Kakoli"
Cielo Rooftop Banani,Banani,Cafe,4.3,309,1,99 Rd No. 11
Lakeshore Banani,Banani,Hotel,4.3,1183,1,"Block-D, House # 81 Rd No 13A"
New Dragon 新龙轩,Banani,Restaurant,4.1,52,1,House 23 Rd No:18
Salimar Garden Restora,Banani,Bangladeshi,4,613,2,"House No. 15, Block D, 17 Rd No 17"
আমেরিকান বার্গার,Banani,Fast Food,4.3,378,1,24 Rd No. 11
Burger King,Banani,Fast Food,4.2,3296,1,"Block C, H.No: 104, Rd No. 11"
Barcode Cafe,Banani,Cafe,4.3,3577,2,House 55/B Rd No # 21
"Cheong Shing Restaurant, Dhaka.",Banani,Chinese,4.2,372,2,"House: 49(4th floor), Road: 11, Block : H"
Durum - Turkish Doner,Banani,Restaurant,4,124,1,"84 Skylark Mark, Ground Floor House No. 84, Road No. 11, Block #D"
Jadu Bangla Restaurant,Banani,Restaurant,4.2,111,1,"House 10, Road, 4 Block # F"
Absolute Thai,Banani,Thai,4,664,3,"House 52, 1st Floor, Rd No 12A"
